% Model:              oval_geometry.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 3 2025, 17:38
% Dimension:          2
% Nodes:              373
% Expressions:        11
% Description:        Dependent variable u
% Length unit:        m
% X,Y,u (1) @ t=0,u (1) @ t=1,u (1) @ t=2,u (1) @ t=3,u (1) @ t=4,u (1) @ t=5,u (1) @ t=6,u (1) @ t=7,u (1) @ t=8,u (1) @ t=9,u (1) @ t=10
-3.001562738051444,0.6678602591870488,0.04602599465752201,0.07323760487333351,0.1127278898819172,0.15795426834342033,0.19752212098470992,0.2224178939621492,0.2329649398792255,0.23420057144368173,0.23111559115890765,0.22694612625727761,0.2234450551272243
-3.141592653589793,0.5,0.04602489036740923,0.056328190899433396,0.08309440445341047,0.11748368275707388,0.15007608293187089,0.17263815241437655,0.18363628789676234,0.186303108411917,0.18461758661589936,0.18152653785618442,0.1786764745140492
-2.921545484532033,0.5345392037988247,0.046035108588633404,0.10666915894339146,0.17045257893305676,0.24005293824644794,0.29885154633365424,0.3341145917236818,0.3477597299101641,0.3480906170903215,0.3426839943888281,0.33612963777763877,0.330859807606236
-2.8539322867037553,0.7328720790751997,0.04602827330632986,0.09002762556516412,0.14374168541338186,0.1984611689981694,0.2411749456926807,0.2641298120126279,0.2712066171534868,0.2694726871863986,0.26452933526288913,0.2593607275286963,0.2554931304434462
-2.656189716159303,0.6428550853478795,0.04603723084046454,0.19319218539474106,0.3237956589660727,0.441627038252364,0.5198682587863459,0.5508075500522734,0.5516746626720607,0.5398143572782995,0.5260668467640655,0.5145470344916084,0.5070684941748045
-2.362278697039252,0.7876794224296068,0.046039646277790024,0.28209652534983853,0.4591043437847809,0.5828471586770313,0.6248740182833603,0.6108684615711601,0.5789910827879189,0.5492781682143326,0.5287912934770369,0.5164467912364605,0.5108572848341638
-2.6597730026336794,0.9918062055625219,0.0460275527307959,0.07158343953534814,0.10343248076391129,0.1300416031604759,0.14458532860144505,0.14859539763970567,0.1470709469530469,0.1437419096962178,0.14061942294274518,0.1382662103997978,0.13688906315510666
-2.325568551535032,1.0925283078984787,0.046030708955623646,0.07789520367937112,0.10729510308879801,0.12178296132547899,0.11977876955089328,0.11176632684613595,0.10388623738712909,0.09832688370754723,0.09524007429943243,0.0938505518288159,0.09358034043314757
-2.056693366704005,0.914561863156921,0.04604321171863214,0.3463013347844428,0.5235720755750608,0.6061741852273932,0.583770609176096,0.5244044232320346,0.469984559215178,0.43304237642569404,0.41305101079430045,0.4041787537030852,0.40241625701103045
-1.7349134240918784,0.9899399070817589,0.04604555386113662,0.3743086010393385,0.5365863529978232,0.5804845055244795,0.5196160866420626,0.44237223304471884,0.38324789926255415,0.3475672330400657,0.3303857449753413,0.3243670805421629,0.32473963857761706
-1.9145868125186847,1.2159883307387545,0.04603267433613494,0.07359607387034804,0.09090181124941109,0.08780187761330803,0.07459984356480144,0.06335691665148822,0.0559861191768189,0.05206047999775427,0.05048622440349154,0.05027455477071909,0.05071805187261868
-3.00111042744334,4.330049616408295,0.046023466393323845,0.0386629256263055,0.05118959473670137,0.0711357711796936,0.09170696757894248,0.10721913541835212,0.1157072003037786,0.11855769683242416,0.11813140137919467,0.1164530742548379,0.11469864831345378
-2.921545484532078,4.465460796201189,0.04601449897058759,0.02799392513875185,0.03668234865645613,0.05118903948552537,0.06641026935349115,0.07808328585847704,0.08458467023461606,0.08684786378416744,0.08660783995425375,0.08539286360973057,0.08409357618423008
-3.141592653589793,4.5,0.04602477468254027,0.05631274007626309,0.08308716532463897,0.11746980415632705,0.15004436854547193,0.1725846600654353,0.183566058266518,0.1862240825984594,0.18453609514149955,0.18144580899245674,0.17859789370400284
