,theta,p
0,0.10471975511666667,0.48317022148169425
1,0.31415926535000005,0.2500945888585251
2,0.5235987755833333,0.15044873289645985
3,0.7330382858166667,0.09225512859712931
4,0.94247779605,0.07668297360850213
5,1.1519173062833334,0.05338715353003558
6,1.361356816516667,0.04774765887237944
7,1.57079632675,0.04298098354060309
8,1.7802358369833335,0.04858238639889366
9,1.9896753472166666,0.05666228557268794
10,2.19911485745,0.0776611109174382
11,2.4085543676833336,0.107438693574542
12,2.6179938779166667,0.15506769091821243
13,2.8274333881500002,0.2716671524964714
14,3.0368728983833337,0.47229680037073285
15,3.246312408616667,0.47997062291452236
16,3.4557519188500003,0.2702408220060185
17,3.6651914290833334,0.1550973393058494
18,3.874630939316667,0.10771005951918004
19,4.08407044955,0.07742893973772488
20,4.293509959783334,0.05660441008181529
21,4.502949470016667,0.04816449395932382
22,4.712388980250001,0.04306471627959509
23,4.921828490483334,0.0478245930519004
24,5.131268000716667,0.053394339462359657
25,5.340707510950001,0.0766285235008551
26,5.550147021183333,0.09259217767431951
27,5.759586531416668,0.15051447782462316
28,5.96902604165,0.25150851021914733
29,6.178465551883334,0.47776070572178875
